frame,delta_frames,tick_cycles,physics_cycles,render_cycles,practice_ui_cycles,physics_setup,physics_core,physics_practice,render_setup,render_visibility,render_bg,render_actors,render_hud,render_practice,tlb_loads,tlb_cycles,tlb_dma_cycles,tlb_icache_cycles
170,3,567182,124466,374214,0,5436,113894,0,55217,169933,46461,24445,77065,0,0,0,0,0
171,4,564325,129154,369966,0,5461,118582,0,53240,163337,43866,24697,83672,0,0,0,0,0
172,2,574006,129997,375955,0,5510,119379,0,54981,165229,52892,24435,77282,0,0,0,0,0
173,3,712963,136343,511833,0,5514,125666,0,53390,312592,45678,24494,74524,0,0,0,0,0
174,3,668262,131768,469706,0,5438,113932,0,55743,249895,34870,24674,103333,0,0,0,0,0
175,3,1005991,127448,813228,0,5441,116968,0,53391,385212,265928,28347,79153,0,0,0,0,0
176,4,1536090,175647,1293386,0,5353,165078,0,55063,714676,198675,24926,298853,0,4,350712,335552,8981
177,4,1557949,352190,1114480,0,5521,341646,0,52965,725085,95435,34504,205322,0,5,440572,421631,11263
178,5,1736702,172715,1404071,0,5575,161684,0,55018,710969,378861,24855,233175,0,7,611872,586121,15731
179,4,1136137,172616,896703,0,5461,162216,0,52865,563832,34242,24446,220101,0,3,263397,252349,6748
180,4,996776,200288,726953,0,5555,189641,0,54947,328049,34318,24426,283981,0,1,89542,85780,2258
181,4,1008021,375426,565854,0,5471,364865,0,53648,340965,33361,24203,112460,0,3,260074,248773,6773
182,4,810227,259900,470410,0,5490,249253,0,55100,214995,34624,24598,139838,0,0,0,0,0
183,3,919596,257028,595734,0,5504,246447,0,53119,369217,35605,24520,112061,0,0,0,0,0
184,3,980223,271898,643731,0,5491,261294,0,55035,241192,34116,24551,287625,0,0,0,0,0
185,3,1058415,256467,735061,0,5513,245969,0,52812,449982,94967,25774,110332,0,0,0,0,0
186,4,979672,181361,726333,0,5405,170867,0,54920,420964,113673,25478,110046,0,0,0,0,0
187,3,1053713,174333,802503,0,5494,163930,0,52777,511275,101198,25835,110243,0,0,0,0,0
188,4,1378344,181414,1130815,0,5523,170820,0,55197,691525,246619,25827,110327,0,0,0,0,0
189,5,1256027,188273,1001069,0,5472,177762,0,62818,477681,320151,27833,111309,0,0,0,0,0
190,6,1311701,183157,1062395,0,5438,172620,0,55165,685855,183719,25398,111065,0,0,0,0,0
191,6,2626774,175345,2389059,0,5461,164428,0,53533,800653,1065617,61538,406464,0,5,433091,414643,11217
192,7,1590188,158450,1265016,0,5462,147928,0,55207,650139,193844,230355,134233,0,2,171107,163651,4492
193,4,1979947,346106,1550314,0,5789,333153,0,53336,844682,485100,51853,114063,0,7,611284,585500,15732
194,6,1692559,441655,1160503,0,5603,430465,0,56721,711852,228854,44756,117111,0,2,178689,171036,4516
195,6,1975116,123417,1578909,0,5505,112764,0,53264,898404,474948,44769,106202,0,7,614093,588096,15705
